Episode,Seed,Sparsity,Total Steps,Reward,Completion Rate
325,738917,0.3,130,72.92301226,0.63
326,943174,0.7,143,96.91858354,0.843
327,63520,0.7,161,73.69163096,0.461
328,336893,0.5,138,60.41279954,0.438
329,367080,0.3,163,93.75333148,0.663
330,535253,0.7,128,86.3871215,0.828
331,831284,0.7,100,43.40495804,0.4
332,29041,0.3,138,61.84052485,0.438
333,809724,0.5,133,90.17063186,0.833
334,333101,0.3,143,81.82517892,0.643
335,347628,0.5,102,68.56989592,0.802
336,843393,0.3,113,63.34129766,0.613
337,787376,0.5,140,94.97466531,0.84
338,573865,0.3,103,57.10251793,0.603
339,139888,0.3,145,98.50868908,0.845
340,390790,0.3,121,81.76303205,0.821
341,55924,0.7,149,101.5675807,0.849
342,651657,0.7,107,47.75475502,0.407
343,87695,0.5,216,103.2172436,0.516
344,256896,0.5,169,97.61830115,0.669
345,489448,0.5,142,80.53354159,0.642
346,312879,0.7,182,105.1961186,0.682
347,145812,0.3,128,57.45662239,0.428
348,724706,0.5,156,107.129824,0.856
349,715066,0.5,142,81.47482345,0.642
350,813861,0.3,168,97.1447899,0.668
351,66380,0.5,121,81.71140954,0.821
352,237240,0.5,110,60.83691439,0.61
353,513427,0.7,183,105.6422812,0.683
354,32176,0.5,193,92.61281183,0.493
355,63320,0.3,195,113.820146,0.695
356,413141,0.5,153,104.2941961,0.853
357,537496,0.7,74,40.14323118,0.574
358,291947,0.3,189,89.48312029,0.489
359,861741,0.5,155,105.3945699,0.855
360,309048,0.3,196,114.8486942,0.696
361,747166,0.5,154,104.9804381,0.854
362,679221,0.3,141,79.50957623,0.641
363,632788,0.7,142,96.30267742,0.842
364,226055,0.3,175,81.89541118,0.475
365,236861,0.5,109,72.65103281,0.809
366,114056,0.7,133,75.6258055,0.633
367,89772,0.7,221,106.7194386,0.521
368,711252,0.7,129,57.39067672,0.429
369,882169,0.3,138,61.57573445,0.438
370,327787,0.7,173,118.9221277,0.873
371,553082,0.7,117,52.48725292,0.417
372,395686,0.5,150,68.2569031,0.45
373,997547,0.5,179,103.8971379,0.679
374,236216,0.5,153,88.19003785,0.653
375,630529,0.7,178,103.3459,0.678
376,907261,0.7,263,128.6030879,0.563
377,647600,0.5,191,90.40622914,0.491
378,959904,0.5,149,84.64506358,0.649
379,310103,0.3,184,106.2967922,0.684
380,569660,0.7,149,101.45222,0.849
381,733182,0.3,140,63.4944693,0.44
382,916550,0.7,134,90.66604629,0.834
383,767987,0.7,116,51.95606436,0.416
384,979059,0.5,136,60.83318061,0.436
385,857873,0.7,137,78.02999017,0.637
386,465131,0.3,197,94.06265089,0.497
387,130670,0.7,141,95.32424951,0.841
388,647115,0.5,129,58.22679617,0.429
389,241226,0.3,188,110.1393001,0.688
390,523961,0.3,128,86.41017678,0.828
391,192679,0.7,133,90.0873633,0.833
392,839155,0.3,136,62.6288089,0.436
393,733568,0.7,161,110.4490797,0.861
394,40587,0.3,140,62.76421843,0.44
395,136378,0.5,163,111.8574965,0.863
396,280678,0.7,129,73.00303879,0.629
397,816633,0.7,229,109.6357171,0.529
398,15483,0.7,154,70.35340911,0.454
399,713278,0.7,161,73.41330706,0.461
400,62154,0.7,180,83.6050107,0.48
401,242705,0.5,117,52.46907853,0.417
402,971292,0.7,204,119.8890392,0.704
403,411877,0.7,186,86.93468171,0.486
404,63647,0.5,110,48.04521279,0.41
405,386232,0.5,188,108.2325549,0.688
406,484371,0.7,117,65.03179592,0.617
407,759999,0.5,210,98.69132704,0.51
